ID,FN,LN,CT,ST,ZP,S1,S2,EM,BD
0,Miguel,Phillips,ELIZABETH,NJ,7206,"8386 Night hawk Way",,Miguel_Phillips@usa.com,9/9/1984
1,Luv,Bullard,LECOMPTON,KS,66050,"8467 Hawaii Circle",,LBullard@comcast.net,
2,Oakley,Proust,"SAINT THOMAS",MO,65076,"238 Yellow Birch Avenue",,OProust@hotmail.com,2/4/1943
3,Maverick,Hemingway,SAVANNAH,GA,31407,"3432 Kiwi Avenue",,Maverick_Hemingway@usa.com,
4,Sophia,Jobs,RIGGINS,ID,83549,"1848 Robin Alley",,SJobs@myself.com,6/7/1941
5,Jasper,Steinbeck,"SWEETWATER STATION",WY,82520,"8428 Lapwing Avenue",,JSteinbeck@yahoo.com,1/28/1983
6,Timothy,Kissell,MERIDEN,MN,56093,"4058 Blue Bonnet Way",,Timothy.Kissell@post.com,8/2/1966
7,Sneha,Hill,RAVEN,KY,41861,"460 Coral Bells Alley",,SHill@contractor.net,3/27/1944
8,Luv,Kandukuri,KENNEBEC,SD,57544,"8941 Cardinal Drive",,Luv_Kandukuri@contractor.net,
9,Layla,Hegde,ORLANDO,FL,32826,"4967 Hoopoe Avenue",,LHegde@hotmail.com,10/13/1942
10,Lee,Bradbury,OAKTOWN,IN,47561,"1484 Avacado Drive",,LBradbury@contractor.net,5/20/1978
11,Howard,Peter,MOORHEAD,IA,51558,"5878 Fifth Court",,Howard.Peter@comcast.net,2/28/1967
12,Maryam,Foster,MONROE,UT,84754,"9499 Patagonian Drive",,Maryam_Foster@contractor.net,9/17/1977
13,Anant,Choi,BOISE,ID,83713,"257 Elm Lane","Apt #224",Anant.Choi@techie.com,4/18/1953
14,Henry,Hall,MONACA,PA,15061,"3203 Seagull Road",,HHall@mail.com,
15,Isabelle,Telamon,"FERN PARK",FL,32730,"7181 Mountain Magnolia Court",,ITelamon@myself.com,1/5/1977
16,Arch,Burt,EASTON,KS,66020,"7224 Apricot Road",,Arch.Burt@earthlink.net,11/13/1952
17,Abbie,Broad,FISKDALE,MA,1518,"3838 Gardenia Court",,Abbie_Broad@mail.com,4/1/1995
18,Cornelia,Trosper,PIERSON,MI,49339,"9147 Frying Pan Avenue","Apt #211",Cornelia.Trosper@yahoo.com,
